{ -1000, 4 }
{ -844, 3 }
{ -843, 1 }
{ -842, 2 }
{ -841, 1 }
{ -840, 4 }
{ -839, 1 }
{ -838, 2 }
{ -837, 1 }
{ -836, 3 }
{ -835, 1 }
{ -834, 2 }
{ -833, 1 }
{ -832, 7 }
{ -831, 1 }
{ -830, 2 }
{ -829, 1 }
{ -828, 3 }
{ -827, 1 }
{ -826, 2 }
{ -825, 1 }
{ -824, 4 }
{ -823, 1 }
{ -822, 2 }
{ -821, 1 }
{ -820, 3 }
{ -819, 1 }
{ -818, 2 }
{ -817, 1 }
{ -816, 5 }
{ -815, 1 }
{ -814, 2 }
{ -813, 1 }
{ -812, 3 }
{ -811, 1 }
{ -810, 2 }
{ -809, 1 }
{ -808, 4 }
{ -807, 1 }
{ -806, 2 }
{ -805, 1 }
{ -804, 3 }
{ -803, 1 }
{ -802, 2 }
{ -801, 1 }
{ -800, 6 }
{ -799, 1 }
{ -798, 2 }
{ -797, 1 }
{ -796, 3 }
{ -795, 1 }
{ -794, 2 }
{ -793, 1 }
{ -792, 4 }
{ -791, 1 }
{ -790, 2 }
{ -789, 1 }
{ -788, 3 }
{ -787, 1 }
{ -786, 2 }
{ -785, 1 }
{ -784, 5 }
{ -783, 1 }
{ -782, 2 }
{ -781, 1 }
{ -780, 3 }
{ -779, 1 }
{ -778, 2 }
{ -777, 1 }
{ -776, 4 }
{ -775, 1 }
{ -774, 2 }
{ -773, 1 }
{ -772, 3 }
{ -771, 1 }
{ -770, 2 }
{ -769, 1 }
{ -768, 9 }
{ -767, 1 }
{ -766, 2 }
{ -765, 1 }
{ -764, 3 }
{ -763, 1 }
{ -762, 2 }
{ -761, 1 }
{ -760, 4 }
{ -759, 1 }
{ -758, 2 }
{ -757, 1 }
{ -756, 3 }
{ -755, 1 }
{ -754, 2 }
{ -753, 1 }
{ -752, 5 }
{ -751, 1 }
{ -750, 2 }
{ -749, 1 }
{ -748, 3 }
{ -747, 1 }
{ -746, 2 }
{ -745, 1 }
{ -744, 4 }
{ -743, 1 }
{ -742, 2 }
{ -741, 1 }
{ -740, 3 }
{ -739, 1 }
{ -738, 2 }
{ -737, 1 }
{ -736, 6 }
{ -735, 1 }
{ -734, 2 }
{ -733, 1 }
{ -732, 3 }
{ -731, 1 }
{ -730, 2 }
{ -729, 1 }
{ -728, 4 }
{ -727, 1 }
{ -726, 2 }
{ -725, 1 }
{ -724, 3 }
{ -723, 1 }
{ -722, 2 }
{ -721, 1 }
{ -720, 5 }
{ -719, 1 }
{ -718, 2 }
{ -717, 1 }
{ -716, 3 }
{ -715, 1 }
{ -714, 2 }
{ -713, 1 }
{ -712, 4 }
{ -711, 1 }
{ -710, 2 }
{ -709, 1 }
{ -708, 3 }
{ -707, 1 }
{ -706, 2 }
{ -705, 1 }
{ -704, 7 }
{ -703, 1 }
{ -702, 2 }
{ -701, 1 }
{ -700, 3 }
{ -699, 1 }
{ -698, 2 }
{ -697, 1 }
{ -696, 4 }
{ -695, 1 }
{ -694, 2 }
{ -693, 1 }
{ -692, 3 }
{ -691, 1 }
{ -690, 2 }
{ -689, 1 }
{ -688, 5 }
{ -687, 1 }
{ -686, 2 }
{ -685, 1 }
{ -684, 3 }
{ -683, 1 }
{ -682, 2 }
{ -681, 1 }
{ -680, 4 }
{ -679, 1 }
{ -678, 2 }
{ -677, 1 }
{ -676, 3 }
{ -675, 1 }
{ -674, 2 }
{ -673, 1 }
{ -672, 6 }
{ -671, 1 }
{ -670, 2 }
{ -669, 1 }
{ -668, 3 }
{ -667, 1 }
{ -666, 2 }
{ -665, 1 }
{ -664, 4 }
{ -663, 1 }
{ -662, 2 }
{ -661, 1 }
{ -660, 3 }
{ -659, 1 }
{ -658, 2 }
{ -657, 1 }
{ -656, 5 }
{ -655, 1 }
{ -654, 2 }
{ -653, 1 }
{ -652, 3 }
{ -651, 1 }
{ -650, 2 }
{ -649, 1 }
{ -648, 4 }
{ -647, 1 }
{ -646, 2 }
{ -645, 1 }
{ -644, 3 }
{ -643, 1 }
{ -642, 2 }
{ -641, 1 }
{ -640, 8 }
{ -639, 1 }
{ -638, 2 }
{ -637, 1 }
{ -636, 3 }
{ -635, 1 }
{ -634, 2 }
{ -633, 1 }
{ -632, 4 }
{ -631, 1 }
{ -630, 2 }
{ -629, 1 }
{ -628, 3 }
{ -627, 1 }
{ -626, 2 }
{ -625, 1 }
{ -624, 5 }
{ -623, 1 }
{ -622, 2 }
{ -621, 1 }
{ -620, 3 }
{ -619, 1 }
{ -618, 2 }
{ -617, 1 }
{ -616, 4 }
{ -615, 1 }
{ -614, 2 }
{ -613, 1 }
{ -612, 3 }
{ -611, 1 }
{ -610, 2 }
{ -609, 1 }
{ -608, 6 }
{ -607, 1 }
{ -606, 2 }
{ -605, 1 }
{ -604, 3 }
{ -603, 1 }
{ -602, 2 }
{ -601, 1 }
{ -600, 4 }
{ -599, 1 }
{ -598, 2 }
{ -597, 1 }
{ -596, 3 }
{ -595, 1 }
{ -594, 2 }
{ -593, 1 }
{ -592, 5 }
{ -591, 1 }
{ -590, 2 }
{ -589, 1 }
{ -588, 3 }
{ -587, 1 }
{ -586, 2 }
{ -585, 1 }
{ -584, 4 }
{ -583, 1 }
{ -582, 2 }
{ -581, 1 }
{ -580, 3 }
{ -579, 1 }
{ -578, 2 }
{ -577, 1 }
{ -576, 7 }
{ -575, 1 }
{ -574, 2 }
{ -573, 1 }
{ -572, 3 }
{ -571, 1 }
{ -570, 2 }
{ -569, 1 }
{ -568, 4 }
{ -567, 1 }
{ -566, 2 }
{ -565, 1 }
{ -564, 3 }
{ -563, 1 }
{ -562, 2 }
{ -561, 1 }
{ -560, 5 }
{ -559, 1 }
{ -558, 2 }
{ -557, 1 }
{ -556, 3 }
{ -555, 1 }
{ -554, 2 }
{ -553, 1 }
{ -552, 4 }
{ -551, 1 }
{ -550, 2 }
{ -549, 1 }
{ -548, 3 }
{ -547, 1 }
{ -546, 2 }
{ -545, 1 }
{ -544, 6 }
{ -543, 1 }
{ -542, 2 }
{ -541, 1 }
{ -540, 3 }
{ -539, 1 }
{ -538, 2 }
{ -537, 1 }
{ -536, 4 }
{ -535, 1 }
{ -534, 2 }
{ -533, 1 }
{ -532, 3 }
{ -531, 1 }
{ -530, 2 }
{ -529, 1 }
{ -528, 5 }
{ -527, 1 }
{ -526, 2 }
{ -525, 1 }
{ -524, 3 }
{ -523, 1 }
{ -522, 2 }
{ -521, 1 }
{ -520, 4 }
{ -519, 1 }
{ -518, 2 }
{ -517, 1 }
{ -516, 3 }
{ -515, 1 }
{ -514, 2 }
{ -513, 1 }
{ -512, 10 }
{ -511, 1 }
{ -510, 2 }
{ -509, 1 }
{ -508, 3 }
{ -507, 1 }
{ -506, 2 }
{ -505, 1 }
{ -504, 4 }
{ -503, 1 }
{ -502, 2 }
{ -501, 1 }
{ -500, 3 }
{ -499, 1 }
{ -498, 2 }
{ -497, 1 }
{ -496, 5 }
{ -495, 1 }
{ -494, 2 }
{ -493, 1 }
{ -492, 3 }
{ -491, 1 }
{ -490, 2 }
{ -489, 1 }
{ -488, 4 }
{ -487, 1 }
{ -486, 2 }
{ -485, 1 }
{ -484, 3 }
{ -483, 1 }
{ -482, 2 }
{ -481, 1 }
{ -480, 6 }
{ -479, 1 }
{ -478, 2 }
{ -477, 1 }
{ -476, 3 }
{ -475, 1 }
{ -474, 2 }
{ -473, 1 }
{ -472, 4 }
{ -471, 1 }
{ -470, 2 }
{ -469, 1 }
{ -468, 3 }
{ -467, 1 }
{ -466, 2 }
{ -465, 1 }
{ -464, 5 }
{ -463, 1 }
{ -462, 2 }
{ -461, 1 }
{ -460, 3 }
{ -459, 1 }
{ -458, 2 }
{ -457, 1 }
{ -456, 4 }
{ -455, 1 }
{ -454, 2 }
{ -453, 1 }
{ -452, 3 }
{ -451, 1 }
{ -450, 2 }
{ -449, 1 }
{ -448, 7 }
{ -447, 1 }
{ -446, 2 }
{ -445, 1 }
{ -444, 3 }
{ -443, 1 }
{ -442, 2 }
{ -441, 1 }
{ -440, 4 }
{ -439, 1 }
{ -438, 2 }
{ -437, 1 }
{ -436, 3 }
{ -435, 1 }
{ -434, 2 }
{ -433, 1 }
{ -432, 5 }
{ -431, 1 }
{ -430, 2 }
{ -429, 1 }
{ -428, 3 }
{ -427, 1 }
{ -426, 2 }
{ -425, 1 }
{ -424, 4 }
{ -423, 1 }
{ -422, 2 }
{ -421, 1 }
{ -420, 3 }
{ -419, 1 }
{ -418, 2 }
{ -417, 1 }
{ -416, 6 }
{ -415, 1 }
{ -414, 2 }
{ -413, 1 }
{ -412, 3 }
{ -411, 1 }
{ -410, 2 }
{ -409, 1 }
{ -408, 4 }
{ -407, 1 }
{ -406, 2 }
{ -405, 1 }
{ -404, 3 }
{ -403, 1 }
{ -402, 2 }
{ -401, 1 }
{ -400, 5 }
{ -399, 1 }
{ -398, 2 }
{ -397, 1 }
{ -396, 3 }
{ -395, 1 }
{ -394, 2 }
{ -393, 1 }
{ -392, 4 }
{ -391, 1 }
{ -390, 2 }
{ -389, 1 }
{ -388, 3 }
{ -387, 1 }
{ -386, 2 }
{ -385, 1 }
{ -384, 8 }
{ -383, 1 }
{ -382, 2 }
{ -381, 1 }
{ -380, 3 }
{ -379, 1 }
{ -378, 2 }
{ -377, 1 }
{ -376, 4 }
{ -375, 1 }
{ -374, 2 }
{ -373, 1 }
{ -372, 3 }
{ -371, 1 }
{ -370, 2 }
{ -369, 1 }
{ -368, 5 }
{ -367, 1 }
{ -366, 2 }
{ -365, 1 }
{ -364, 3 }
{ -363, 1 }
{ -362, 2 }
{ -361, 1 }
{ -360, 4 }
{ -359, 1 }
{ -358, 2 }
{ -357, 1 }
{ -356, 3 }
{ -355, 1 }
{ -354, 2 }
{ -353, 1 }
{ -352, 6 }
{ -351, 1 }
{ -350, 2 }
{ -349, 1 }
{ -348, 3 }
{ -347, 1 }
{ -346, 2 }
{ -345, 1 }
{ -344, 4 }
{ -343, 1 }
{ -342, 2 }
{ -341, 1 }
{ -340, 3 }
{ -339, 1 }
{ -338, 2 }
{ -337, 1 }
{ -336, 5 }
{ -335, 1 }
{ -334, 2 }
{ -333, 1 }
{ -332, 3 }
{ -331, 1 }
{ -330, 2 }
{ -329, 1 }
{ -328, 4 }
{ -327, 1 }
{ -326, 2 }
{ -325, 1 }
{ -324, 3 }
{ -323, 1 }
{ -322, 2 }
{ -321, 1 }
{ -320, 7 }
{ -319, 1 }
{ -318, 2 }
{ -317, 1 }
{ -316, 3 }
{ -315, 1 }
{ -314, 2 }
{ -313, 1 }
{ -312, 4 }
{ -311, 1 }
{ -310, 2 }
{ -309, 1 }
{ -308, 3 }
{ -307, 1 }
{ -306, 2 }
{ -305, 1 }
{ -304, 5 }
{ -303, 1 }
{ -302, 2 }
{ -301, 1 }
{ -300, 3 }
{ -299, 1 }
{ -298, 2 }
{ -297, 1 }
{ -296, 4 }
{ -295, 1 }
{ -294, 2 }
{ -293, 1 }
{ -292, 3 }
{ -291, 1 }
{ -290, 2 }
{ -289, 1 }
{ -288, 6 }
{ -287, 1 }
{ -286, 2 }
{ -285, 1 }
{ -284, 3 }
{ -283, 1 }
{ -282, 2 }
{ -281, 1 }
{ -280, 4 }
{ -279, 1 }
{ -278, 2 }
{ -277, 1 }
{ -276, 3 }
{ -275, 1 }
{ -274, 2 }
{ -273, 1 }
{ -272, 5 }
{ -271, 1 }
{ -270, 2 }
{ -269, 1 }
{ -268, 3 }
{ -267, 1 }
{ -266, 2 }
{ -265, 1 }
{ -264, 4 }
{ -263, 1 }
{ -262, 2 }
{ -261, 1 }
{ -260, 3 }
{ -259, 1 }
{ -258, 2 }
{ -257, 1 }
{ -256, 9 }
{ -255, 1 }
{ -254, 2 }
{ -253, 1 }
{ -252, 3 }
{ -251, 1 }
{ -250, 2 }
{ -249, 1 }
{ -248, 4 }
{ -247, 1 }
{ -246, 2 }
{ -245, 1 }
{ -244, 3 }
{ -243, 1 }
{ -242, 2 }
{ -241, 1 }
{ -240, 5 }
{ -239, 1 }
{ -238, 2 }
{ -237, 1 }
{ -236, 3 }
{ -235, 1 }
{ -234, 2 }
{ -233, 1 }
{ -232, 4 }
{ -231, 1 }
{ -230, 2 }
{ -229, 1 }
{ -228, 3 }
{ -227, 1 }
{ -226, 2 }
{ -225, 1 }
{ -224, 6 }
{ -223, 1 }
{ -222, 2 }
{ -221, 1 }
{ -220, 3 }
{ -219, 1 }
{ -218, 2 }
{ -217, 1 }
{ -216, 4 }
{ -215, 1 }
{ -214, 2 }
{ -213, 1 }
{ -212, 3 }
{ -211, 1 }
{ -210, 2 }
{ -209, 1 }
{ -208, 5 }
{ -207, 1 }
{ -206, 2 }
{ -205, 1 }
{ -204, 3 }
{ -203, 1 }
{ -202, 2 }
{ -201, 1 }
{ -200, 4 }
{ -199, 1 }
{ -198, 2 }
{ -197, 1 }
{ -196, 3 }
{ -195, 1 }
{ -194, 2 }
{ -193, 1 }
{ -192, 7 }
{ -191, 1 }
{ -190, 2 }
{ -189, 1 }
{ -188, 3 }
{ -187, 1 }
{ -186, 2 }
{ -185, 1 }
{ -184, 4 }
{ -183, 1 }
{ -182, 2 }
{ -181, 1 }
{ -180, 3 }
{ -179, 1 }
{ -178, 2 }
{ -177, 1 }
{ -176, 5 }
{ -175, 1 }
{ -174, 2 }
{ -173, 1 }
{ -172, 3 }
{ -171, 1 }
{ -170, 2 }
{ -169, 1 }
{ -168, 4 }
{ -167, 1 }
{ -166, 2 }
{ -165, 1 }
{ -164, 3 }
{ -163, 1 }
{ -162, 2 }
{ -161, 1 }
{ -160, 6 }
{ -159, 1 }
{ -158, 2 }
{ -157, 1 }
{ -156, 3 }
{ -155, 1 }
{ -154, 2 }
{ -153, 1 }
{ -152, 4 }
{ -151, 1 }
{ -150, 2 }
{ -149, 1 }
{ -148, 3 }
{ -147, 1 }
{ -146, 2 }
{ -145, 1 }
{ -144, 5 }
{ -143, 1 }
{ -142, 2 }
{ -141, 1 }
{ -140, 3 }
{ -139, 1 }
{ -138, 2 }
{ -137, 1 }
{ -136, 4 }
{ -135, 1 }
{ -134, 2 }
{ -133, 1 }
{ -132, 3 }
{ -131, 1 }
{ -130, 2 }
{ -129, 1 }
{ -128, 8 }
{ -127, 1 }
{ -126, 2 }
{ -125, 1 }
{ -124, 3 }
{ -123, 1 }
{ -122, 2 }
{ -121, 1 }
{ -120, 4 }
{ -119, 1 }
{ -118, 2 }
{ -117, 1 }
{ -116, 3 }
{ -115, 1 }
{ -114, 2 }
{ -113, 1 }
{ -112, 5 }
{ -111, 1 }
{ -110, 2 }
{ -109, 1 }
{ -108, 3 }
{ -107, 1 }
{ -106, 2 }
{ -105, 1 }
{ -104, 4 }
{ -103, 1 }
{ -102, 2 }
{ -101, 1 }
{ -100, 3 }
{ -99, 1 }
{ -98, 2 }
{ -97, 1 }
{ -96, 6 }
{ -95, 1 }
{ -94, 2 }
{ -93, 1 }
{ -92, 3 }
{ -91, 1 }
{ -90, 2 }
{ -89, 1 }
{ -88, 4 }
{ -87, 1 }
{ -86, 2 }
{ -85, 1 }
{ -84, 3 }
{ -83, 1 }
{ -82, 2 }
{ -81, 1 }
{ -80, 5 }
{ -79, 1 }
{ -78, 2 }
{ -77, 1 }
{ -76, 3 }
{ -75, 1 }
{ -74, 2 }
{ -73, 1 }
{ -72, 4 }
{ -71, 1 }
{ -70, 2 }
{ -69, 1 }
{ -68, 3 }
{ -67, 1 }
{ -66, 2 }
{ -65, 1 }
{ -64, 7 }
{ -63, 1 }
{ -62, 2 }
{ -61, 1 }
{ -60, 3 }
{ -59, 1 }
{ -58, 2 }
{ -57, 1 }
{ -56, 4 }
{ -55, 1 }
{ -54, 2 }
{ -53, 1 }
{ -52, 3 }
{ -51, 1 }
{ -50, 2 }
{ -49, 1 }
{ -48, 5 }
{ -47, 1 }
{ -46, 2 }
{ -45, 1 }
{ -44, 3 }
{ -43, 1 }
{ -42, 2 }
{ -41, 1 }
{ -40, 4 }
{ -39, 1 }
{ -38, 2 }
{ -37, 1 }
{ -36, 3 }
{ -35, 1 }
{ -34, 2 }
{ -33, 1 }
{ -32, 6 }
{ -31, 1 }
{ -30, 2 }
{ -29, 1 }
{ -28, 3 }
{ -27, 1 }
{ -26, 2 }
{ -25, 1 }
{ -24, 4 }
{ -23, 1 }
{ -22, 2 }
{ -21, 1 }
{ -20, 3 }
{ -19, 1 }
{ -18, 2 }
{ -17, 1 }
{ -16, 5 }
{ -15, 1 }
{ -14, 2 }
{ -13, 1 }
{ -12, 3 }
{ -11, 1 }
{ -10, 2 }
{ -9, 1 }
{ -8, 4 }
{ -7, 1 }
{ -6, 2 }
{ -5, 1 }
{ -4, 3 }
{ -3, 1 }
{ -2, 2 }
{ -1, 1 }
{ 1, 1 }
{ 2, 2 }
{ 3, 1 }
{ 4, 3 }
{ 5, 1 }
{ 6, 2 }
{ 7, 1 }
{ 8, 4 }
{ 9, 1 }
{ 10, 2 }
{ 11, 1 }
{ 12, 3 }
{ 13, 1 }
{ 14, 2 }
{ 15, 1 }
{ 16, 5 }
{ 17, 1 }
{ 18, 2 }
{ 19, 1 }
{ 20, 3 }
{ 21, 1 }
{ 22, 2 }
{ 23, 1 }
{ 24, 4 }
{ 25, 1 }
{ 26, 2 }
{ 27, 1 }
{ 28, 3 }
{ 29, 1 }
{ 30, 2 }
{ 31, 1 }
{ 32, 6 }
{ 33, 1 }
{ 34, 2 }
{ 35, 1 }
{ 36, 3 }
{ 37, 1 }
{ 38, 2 }
{ 39, 1 }
{ 40, 4 }
{ 41, 1 }
{ 42, 2 }
{ 43, 1 }
{ 44, 3 }
{ 45, 1 }
{ 46, 2 }
{ 47, 1 }
{ 48, 5 }
{ 49, 1 }
{ 50, 2 }
{ 51, 1 }
{ 52, 3 }
{ 53, 1 }
{ 54, 2 }
{ 55, 1 }
{ 56, 4 }
{ 57, 1 }
{ 58, 2 }
{ 59, 1 }
{ 60, 3 }
{ 61, 1 }
{ 62, 2 }
{ 63, 1 }
{ 64, 7 }
{ 65, 1 }
{ 66, 2 }
{ 67, 1 }
{ 68, 3 }
{ 69, 1 }
{ 70, 2 }
{ 71, 1 }
{ 72, 4 }
{ 73, 1 }
{ 74, 2 }
{ 75, 1 }
{ 76, 3 }
{ 77, 1 }
{ 78, 2 }
{ 79, 1 }
{ 80, 5 }
{ 81, 1 }
{ 82, 2 }
{ 83, 1 }
{ 84, 3 }
{ 85, 1 }
{ 86, 2 }
{ 87, 1 }
{ 88, 4 }
{ 89, 1 }
{ 90, 2 }
{ 91, 1 }
{ 92, 3 }
{ 93, 1 }
{ 94, 2 }
{ 95, 1 }
{ 96, 6 }
{ 97, 1 }
{ 98, 2 }
{ 99, 1 }
{ 100, 3 }
{ 101, 1 }
{ 102, 2 }
{ 103, 1 }
{ 104, 4 }
{ 105, 1 }
{ 106, 2 }
{ 107, 1 }
{ 108, 3 }
{ 109, 1 }
{ 110, 2 }
{ 111, 1 }
{ 112, 5 }
{ 113, 1 }
{ 114, 2 }
{ 115, 1 }
{ 116, 3 }
{ 117, 1 }
{ 118, 2 }
{ 119, 1 }
{ 120, 4 }
{ 121, 1 }
{ 122, 2 }
{ 123, 1 }
{ 124, 3 }
{ 125, 1 }
{ 126, 2 }
{ 127, 1 }
{ 128, 8 }
{ 129, 1 }
{ 130, 2 }
{ 131, 1 }
{ 132, 3 }
{ 133, 1 }
{ 134, 2 }
{ 135, 1 }
{ 136, 4 }
{ 137, 1 }
{ 138, 2 }
{ 139, 1 }
{ 140, 3 }
{ 141, 1 }
{ 142, 2 }
{ 143, 1 }
{ 144, 5 }
{ 145, 1 }
{ 146, 2 }
{ 147, 1 }
{ 148, 3 }
{ 149, 1 }
{ 150, 2 }
{ 151, 1 }
{ 152, 4 }
{ 153, 1 }
{ 154, 2 }
{ 155, 1 }
{ 156, 3 }
{ 157, 1 }
{ 158, 2 }
{ 159, 1 }
{ 160, 6 }
{ 161, 1 }
{ 162, 2 }
{ 163, 1 }
{ 164, 3 }
{ 165, 1 }
{ 166, 2 }
{ 167, 1 }
{ 168, 4 }
{ 169, 1 }
{ 170, 2 }
{ 171, 1 }
{ 172, 3 }
{ 173, 1 }
{ 174, 2 }
{ 175, 1 }
{ 176, 5 }
{ 177, 1 }
{ 178, 2 }
{ 179, 1 }
{ 180, 3 }
{ 181, 1 }
{ 182, 2 }
{ 183, 1 }
{ 184, 4 }
{ 185, 1 }
{ 186, 2 }
{ 187, 1 }
{ 188, 3 }
{ 189, 1 }
{ 190, 2 }
{ 191, 1 }
{ 192, 7 }
{ 193, 1 }
{ 194, 2 }
{ 195, 1 }
{ 196, 3 }
{ 197, 1 }
{ 198, 2 }
{ 199, 1 }
{ 200, 4 }
{ 201, 1 }
{ 202, 2 }
{ 203, 1 }
{ 204, 3 }
{ 205, 1 }
{ 206, 2 }
{ 207, 1 }
{ 208, 5 }
{ 209, 1 }
{ 210, 2 }
{ 211, 1 }
{ 212, 3 }
{ 213, 1 }
{ 214, 2 }
{ 215, 1 }
{ 216, 4 }
{ 217, 1 }
{ 218, 2 }
{ 219, 1 }
{ 220, 3 }
{ 221, 1 }
{ 222, 2 }
{ 223, 1 }
{ 224, 6 }
{ 225, 1 }
{ 226, 2 }
{ 227, 1 }
{ 228, 3 }
{ 229, 1 }
{ 230, 2 }
{ 231, 1 }
{ 232, 4 }
{ 233, 1 }
{ 234, 2 }
{ 235, 1 }
{ 236, 3 }
{ 237, 1 }
{ 238, 2 }
{ 239, 1 }
{ 240, 5 }
{ 241, 1 }
{ 242, 2 }
{ 243, 1 }
{ 244, 3 }
{ 245, 1 }
{ 246, 2 }
{ 247, 1 }
{ 248, 4 }
{ 249, 1 }
{ 250, 2 }
{ 251, 1 }
{ 252, 3 }
{ 253, 1 }
{ 254, 2 }
{ 255, 1 }
{ 256, 9 }
{ 257, 1 }
{ 258, 2 }
{ 259, 1 }
{ 260, 3 }
{ 261, 1 }
{ 262, 2 }
{ 263, 1 }
{ 264, 4 }
{ 265, 1 }
{ 266, 2 }
{ 267, 1 }
{ 268, 3 }
{ 269, 1 }
{ 270, 2 }
{ 271, 1 }
{ 272, 5 }
{ 273, 1 }
{ 274, 2 }
{ 275, 1 }
{ 276, 3 }
{ 277, 1 }
{ 278, 2 }
{ 279, 1 }
{ 280, 4 }
{ 281, 1 }
{ 282, 2 }
{ 283, 1 }
{ 284, 3 }
{ 285, 1 }
{ 286, 2 }
{ 287, 1 }
{ 288, 6 }
{ 289, 1 }
{ 290, 2 }
{ 291, 1 }
{ 292, 3 }
{ 293, 1 }
{ 294, 2 }
{ 295, 1 }
{ 296, 4 }
{ 297, 1 }
{ 298, 2 }
{ 299, 1 }
{ 300, 3 }
{ 301, 1 }
{ 302, 2 }
{ 303, 1 }
{ 304, 5 }
{ 305, 1 }
{ 306, 2 }
{ 307, 1 }
{ 308, 3 }
{ 309, 1 }
{ 310, 2 }
{ 311, 1 }
{ 312, 4 }
{ 313, 1 }
{ 314, 2 }
{ 315, 1 }
{ 316, 3 }
{ 317, 1 }
{ 318, 2 }
{ 319, 1 }
{ 320, 7 }
{ 321, 1 }
{ 322, 2 }
{ 323, 1 }
{ 324, 3 }
{ 325, 1 }
{ 326, 2 }
{ 327, 1 }
{ 328, 4 }
{ 329, 1 }
{ 330, 2 }
{ 331, 1 }
{ 332, 3 }
{ 333, 1 }
{ 334, 2 }
{ 335, 1 }
{ 336, 5 }
{ 337, 1 }
{ 338, 2 }
{ 339, 1 }
{ 340, 3 }
{ 341, 1 }
{ 342, 2 }
{ 343, 1 }
{ 344, 4 }
{ 345, 1 }
{ 346, 2 }
{ 347, 1 }
{ 348, 3 }
{ 349, 1 }
{ 350, 2 }
{ 351, 1 }
{ 352, 6 }
{ 353, 1 }
{ 354, 2 }
{ 355, 1 }
{ 356, 3 }
{ 357, 1 }
{ 358, 2 }
{ 359, 1 }
{ 360, 4 }
{ 361, 1 }
{ 362, 2 }
{ 363, 1 }
{ 364, 3 }
{ 365, 1 }
{ 366, 2 }
{ 367, 1 }
{ 368, 5 }
{ 369, 1 }
{ 370, 2 }
{ 371, 1 }
{ 372, 3 }
{ 373, 1 }
{ 374, 2 }
{ 375, 1 }
{ 376, 4 }
{ 377, 1 }
{ 378, 2 }
{ 379, 1 }
{ 380, 3 }
{ 381, 1 }
{ 382, 2 }
{ 383, 1 }
{ 384, 8 }
{ 385, 1 }
{ 386, 2 }
{ 387, 1 }
{ 388, 3 }
{ 389, 1 }
{ 390, 2 }
{ 391, 1 }
{ 392, 4 }
{ 393, 1 }
{ 394, 2 }
{ 395, 1 }
{ 396, 3 }
{ 397, 1 }
{ 398, 2 }
