"ABCDBAGHCHFAC", 3 ['D', 'G', 'F']
"ABBCDAB", 3 ['C', 'D']
"cbcdedabea", 8, []
"cdebacdeab", 7, []
"cbdecabdea", 9, []
"bccdedaeba", 5, []
"bcdecdabea", 6, []
"cbdceadeba", 5, []
"cbdecdaeba", 7, []
"bccddeaeba", 7, []
"bcdeacdeba", 7, []
"bcdcdeeaba", 6, []
"cdbcadab", 5, []
"bccdadba", 5, []
"cbcdadab", 4, []
"dababccd", 6, []
"adbabcdc", 4, []
"abdabcdc", 4, []
"eadebcabcd", 9, []
"edabecdabc", 9, []
"edaebcadbc", 9, []
"eadeabcbcd", 5, []
"eadbeacbdc", 6, []
"deeabacbcd", 5, []
"eabdceadbc", 9, []
"edabecadbc", 10, []
"edaebacdbc", 5, []
"eadbecdabc", 10, []
"deabeacdbc", 5, []
"eadbceabcd", 6, []
"eadbceabdc", 9, []
"eabcdeabdc", 10, []
"edaebcabdc", 9, []
"deeababccd", 10, []
"eabcdeadbc", 9, []
"eadbeacdbc", 8, []
"deaeabbccd", 10, []
"deabceabcd", 9, []
"deaebcabdc", 9, []
"deaebcabcd", 6, []
"deeaabcbcd", 8, []
"edeabcdabc", 7, []
"bacbcdedae", 5, []
"babcdcdeea", 8, []
"abbcdcdeae", 7, []
"bcdaeabcde", 6, []
"babcdcedae", 9, []
"abcdbecade", 9, []
"babcdeacde", 9, []
"bcabdecdea", 5, []
"babcdecdea", 5, []
"abcdbeacde", 6, []
"babcdceade", 10, []
"abcbcddeea", 8, []
"abcbdceade", 6, []
"bacbdcedea", 10, []
"bacdebacde", 9, []
"abbcdecade", 10, []
"bacbdecdae", 9, []
"abbcdecdea", 6, []
"bcdeabcade", 10, []
"bacbdecade", 6, []
"abcdbcdeae", 7, []
"baabacde", 5, [ 'c' 'd' 'e' ]
"abbcdaea", 8, [ 'c' 'd' 'e' ]
"abbyay", 5, []
"abbayy", 6, []
"abbyya", 6, []
"abybyabya", 4, []
"yaabbyy", 4, []
"abyybayba", 7, []
"aabyyb", 4, []
"ayaybb", 3, []
"ayabyb", 3, []
"ybayabbay", 9, []
"abbybba", 5, [ 'y' ]
"aybayb", 3, []
"xybyaxbyabca", 5, [ 'c' ]
"abracadabraabracadabra", 22, []
"williamshakespeare", 16, [ 'w' 'm' 'h' 'k' 'p' 'r' ]
"cbaabcd", 5, [ 'd' ]
"bccbaabccbaa", 11, []
"ccbaabccbaab", 4, []
"xybyaxbyabca", 6, [ 'c' ]
"cbaabc", 4, []
"cbaabcdcbaabcd", 6, []
"bcdcbaa", 5, [ 'd' ]
"baabcdc", 5, [ 'd' ]
"bccbaa", 6, []
"eabcdeabcd", 5, []
"cdcbab", 6, [ 'd' 'a' ]
"bananasbananas", 9, []
"bcbabcba", 5, []
"bcdabcda", 7, []
"abca", 3, [ 'b' 'c' ]
"cbabcdcbabcd", 6, []
"bananasbananas", 4, []
"dcabc", 4, [ 'd' 'a' 'b' ]
"cbabc", 4, [ 'a' ]
"abdcbcdbdcbbcabdcbcdbdcbbc", 16, []
"cdcbaabcdcbaab", 6, []
"dcbaabcdcbaabc", 9, []
"cbaabcdcbaabcd", 12, []
"baabcdcbaabcdc", 14, []
"baabccbaabcc", 11, []
"abcdeabcde", 7, []
"cdcbaab", 4, [ 'd' ]
"aabcdcb", 6, [ 'd' ]
"abccba", 5, []
"cbaabcd", 7, [ 'd' ]
"babcdc", 6, [ 'a' 'd' ]
"abracadabra", 10, [ 'c' 'd' ]
"abcdcba", 7, [ 'd' ]
"dcbabcdcbabc", 12, []
"bcba", 4, [ 'c' 'a' ]
"xybyaxby", 6, [ 'a' ]
"abcdcbabcdcb", 12, []
"abcbabcb", 3, []
"dcabcdcabc", 6, []
"bananas", 5, [ 'b' 's' ]
"cbabcdcbabcd", 10, []
"bcdcba", 6, [ 'd' 'a' ]
"cbabcd", 6, [ 'a' 'd' ]
"abcacb", 6, []
"abacbc", 3, []
"bccdeabdea", 8, []
"bcdeacdbea", 10, []
"cbdcdeeaba", 10, []
"bccddeaeab", 10, []
"cbdcdeaeab", 8, []
"cbcdedabea", 5, []
"bccdeadeab", 6, []
"cdebacdbe", 9, [ 'a' ]
"cbcdadba", 6, []
"bcdacbda", 6, []
"cdabcdab", 7, []
"cbdcdaab", 8, []
"adabcbcd", 8, []
"adabbcdc", 8, []
"abcddabc", 7, []
"eadbeacdbc", 9, []
"deaebabcdc", 10, []
"edeababccd", 10, []
"edabecadbc", 5, []
"eadbeabcdc", 7, []
"eadebcdabc", 9, []
"edabeacbdc", 8, []
"deeababcdc", 8, []
"eabcdeadbc", 6, []
"deabcdeabc", 6, []
"deeababccd", 5, []
"bcadbcedae", 7, []
"bacbcdedea", 9, []
"abbccdeade", 10, []
"bcabcdeade", 10, []
"abbcdcedea", 10, []
"abcbdcedae", 8, []
"bcdabecade", 10, []
"abcbdcdeea", 7, []
"bcdabeacde", 5, []
"babccdedae", 8, []
"bcabcdedea", 7, []
"bcabdecade", 8, []
"bcadbcdeea", 10, []
"abcbdaea", 8, [ 'c' 'd' 'e' ]
"abcbdaae", 7, [ 'c' 'd' 'e' ]
"babacdea", 6, [ 'c' 'd' 'e' ]
"babcdeaa", 6, [ 'c' 'd' 'e' ]
"babacade", 7, [ 'c' 'd' 'e' ]
"abbcadea", 6, [ 'c' 'd' 'e' ]
"yxybyxb", 3, []
"xyyybxb", 4, []
"yyxybxb", 4, []
"yxyybxb", 3, []
"xbyyxby", 6, []
"xybxbbyb", 7, []
"bccdedabea", 8, []
"cbdecdaeab", 10, []
"bccddeeaba", 8, []
"cdebcdaeba", 7, []
"cdbecadeab", 7, []
"cdeabcdeba", 10, []
"cbdecdabea", 10, []
"cdebcadeba", 10, []
"cbcddeeaba", 5, []
"cdbecdeaba", 8, []
"bccddaab", 8, []
"bcdcadba", 6, []
"cbcdadba", 5, []
"cbdabcda", 6, []
"cdabcdba", 4, []
"dababccd", 5, []
"dabacbdc", 8, []
"dababcdc", 7, []
"adbcabdc", 6, []
"abcdabcd", 4, []
"adabcbdc", 4, []
"deaebcadbc", 7, []
"edaebabccd", 10, []
"edaebacbcd", 5, []
"deeabcabcd", 9, []
"eabdecdabc", 8, []
"edabceabdc", 5, []
"edaebabcdc", 8, []
"deeababcdc", 6, []
"edaeabbcdc", 7, []
"eadbceabdc", 10, []
"edeabcadbc", 8, []
"eabcdeabdc", 5, []
"deabceadbc", 9, []
"deeabcabdc", 8, []
"eadeabcbdc", 8, []
"eadebabcdc", 7, []
"eabdceab", 8, [ 'd' 'c' ]
"bcadbcedae", 8, []
"bcdabcedae", 9, []
"bacdbecade", 5, []
"bcdabcedea", 7, []
"abbcdceade", 10, []
"abcdbcedea", 7, []
"babcdecdea", 6, []
"bcabcdeade", 8, []
"abcdebaa", 6, [ 'c' 'd' 'e' ]
"babcaade", 6, [ 'c' 'd' 'e' ]
"babcadae", 6, [ 'c' 'd' 'e' ]
"abbaacde", 5, [ 'c' 'd' 'e' ]
"baabacde", 8, [ 'c' 'd' 'e' ]
"abcbadea", 6, [ 'c' 'd' 'e' ]
"abbcdaea", 5, [ 'c' 'd' 'e' ]
"ababacde", 8, [ 'c' 'd' 'e' ]
"babcdaae", 5, [ 'c' 'd' 'e' ]
"babcdaea", 8, [ 'c' 'd' 'e' ]
"yxbyxyb", 6, []
"xbxyyyb", 4, []
"xbxybbyb", 4, []
"ybxbybxb", 3, []
"xybbybxb", 8, []
"ybyxbxbb", 3, []
"acabcb", 5, []
"cbdcedaeba", 7, []
"cdbeabcdea", 8, []
"bcdecabdea", 8, []
"cdbecadeab", 5, []
"cdbcdeabea", 10, []
"cbcddeeaab", 5, []
"cdbecdaeab", 5, []
"cdbeacbdea", 8, []
"cdebcabdea", 10, []
"bccdeadeba", 7, []
"cdebacbdea", 10, []
"bcdeacbdea", 9, []
"cbdcdeabea", 6, []
"cdebcdabea", 6, []
"cdebacdb", 5, [ 'e' 'a' ]
"cdbacdab", 5, []
"cbdabcda", 7, []
"bccdadab", 4, []
"cdbcdaba", 6, []
"bcdabcda", 8, []
"cdbcdaab", 4, []
"adbacbdc", 8, []
"abdacbcd", 5, []
"dabacdbc", 7, []
"adbacdbc", 5, []
"dabcabdc", 5, []
"eabdceabcd", 6, []
"eabdceadbc", 6, []
"deaebcdabc", 9, []
"edabcedabc", 8, []
"eadbeabccd", 6, []
"eabdcdeabc", 9, []
"edabeacbcd", 6, []
"deaeabcbcd", 8, []
"edeaabcdbc", 6, []
"eabcdeab", 5, [ 'c' 'd' ]
"abbcdeacde", 8, []
"bcdaebcade", 6, []
"abcbdeacde", 8, []
"abcdebcdea", 5, []
"abcdbcdeea", 9, []
"bacbcdeade", 9, []
"bcadbecdea", 10, []
"bacdbcedea", 8, []
"babcdeacde", 7, []
"bcadebacde", 5, []
"abcbdcedae", 10, []
"abcdbeacde", 5, []
"bacdbeacde", 9, []
"bcdabcdeae", 7, []
"bacbdcdeae", 7, []
"bcdabceade", 7, []
"abcbdecdae", 7, []
"bcabdcedae", 10, []
"abbcdaae", 6, [ 'c' 'd' 'e' ]
"abbacdae", 5, [ 'c' 'd' 'e' ]
"abbcadae", 5, [ 'c' 'd' 'e' ]
"abbcaade", 6, [ 'c' 'd' 'e' ]
"babcadae", 5, [ 'c' 'd' 'e' ]
"abcdbaae", 7, [ 'c' 'd' 'e' ]
"xyybyxb", 7, []
"xbyyxyb", 3, []
"xbyyyxb", 4, []
"yyyxbxb", 4, []
"xbxbyyy", 6, []
"ybxybbxb", 8, []
"cdbcdeeaba", 7, []
"cbdecdaeab", 7, []
"bcdecabdea", 5, []
"bcdecdeaba", 6, []
"cbdeacdeba", 8, []
"bcdeabcdea", 5, []
"bcdecdaeab", 5, []
"bcdcedaeba", 7, []
"cdbceadbea", 9, []
"cdbcdeeaab", 9, []
"cbdecadeba", 10, []
"cdebcabdea", 5, []
"cdbecdeaab", 5, []
"cdbcdeabea", 7, []
"cbcdedeaba", 9, []
"cdbcedeaab", 5, []
"cdebacdbea", 6, []
"cdebabcdea", 7, []
"cdebcdaeab", 10, []
"cbdecdeaba", 5, []
"bcdceadeba", 6, []
"cdebacdeab", 6, []
"bccdedeaba", 10, []
"cbdacdab", 6, []
"cdbacdba", 6, []
"cdabcdab", 8, []
"cdbcadab", 7, []
"bccdabda", 4, []
"cbdcabda", 4, []
"bcdcdaab", 4, []
"cdbcdaab", 5, []
"cbcdabda", 8, []
"daabcdbc", 6, []
"abcdadbc", 7, []
"daabbcdc", 7, []
"eadbcdeabc", 5, []
"edabeacbcd", 5, []
"eadebcadbc", 5, []
"eadebacbcd", 5, []
"deeabacbcd", 6, []
"deabcedabc", 10, []
"edaebabccd", 8, []
"deeaabcbdc", 7, []
"eabdceadbc", 5, []
"eadbecabcd", 6, []
"edaebabcdc", 9, []
"edeabcabcd", 8, []
"edaeabbcdc", 6, []
"edaeabbccd", 8, []
"deaebacbcd", 6, []
"eabdeacbcd", 5, []
"edeababcdc", 7, []
"deeabcadbc", 7, []
"bcadbecdea", 8, []
"abcbdcedae", 9, []
"bcabdcdeea", 9, []
"bacdbcedae", 7, []
"bcadbceade", 10, []
"abbccddeae", 5, []
"bcdaeabcde", 7, []
"abbccdedae", 5, []
"bcadeabcde", 6, []
"bcdaebacde", 6, []
"babccdeade", 8, []
"bacdebcdea", 10, []
"abcdebcade", 8, []
"abcbcdedae", 5, []
"bcabdceade", 8, []
"abbccddeea", 10, []
"bacdbecdae", 8, []
"bacbdcdeea", 8, []
"bcdaebcdae", 7, []
"bacdbecdea", 6, []
"abcbcdeade", 10, []
"bacdebcade", 10, []
"abcbdceade", 7, []
"abcdbaea", 5, [ 'c' 'd' 'e' ]
"babcdaae", 8, [ 'c' 'd' 'e' ]
"baaabcde", 7, [ 'c' 'd' 'e' ]
"abbcdeaa", 6, [ 'c' 'd' 'e' ]
"yyxbyxb", 3, []
"xbyxyby", 5, []
"xyybxyb", 6, []
"yxybxby", 4, []
"yxbyyxb", 3, []
"xyybxby", 6, []
"xybbyxbb", 5, []
"yxbbxbyb", 7, []
"ybyxbbxb", 7, []
"xbybybxb", 4, []
"xbxybybb", 4, []
"yxbbybxb", 3, []
"ybxbyxbb", 3, []
"ybybxbxb", 6, []
"ybxbxbyb", 3, []
"yxbxbbyb", 3, []
"yxbbyxbb", 4, []
"abcd", 4, [ 'a' 'b' 'c' 'd' ]
"deabc", 5, [ 'd' 'e' 'a' 'b' 'c' ]
"bcdea", 5, [ 'b' 'c' 'd' 'e' 'a' ]
"abcde", 5, [ 'a' 'b' 'c' 'd' 'e' ]
"cdeab", 5, [ 'c' 'd' 'e' 'a' 'b' ]
"bcda", 4, [ 'b' 'c' 'd' 'a' ]
"cdab", 4, [ 'c' 'd' 'a' 'b' ]
"xyz", 3, [ 'x' 'y' 'z' ]
"ABCBDBDBBDCDABD", 2, []
"ABCBDBDBBDCDABD", 3, []
"ABCBDBDBBDCDABD", 5, []
"", 2, []
"ABCD", 3, [ 'A' 'B' 'C' ]
"AABCDCBAABCDCB", 2, []
"TOMMARVOLORIDDLE", 5, [ 'T' 'A' 'V' 'I' 'E' ]
"ABDCBCDBDCBBC", 2, [ 'A' ]
"ABCDEABCDE", 2, []
"ABDCBCDBDCBC", 2, [ 'A' ]
"IAMLORDVOLDEMORT", 2, [ 'I' 'A' ]
"ASBANANASBANAN", 2, []
"AYABBYA", 2, []
"BAAC", 2, [ 'B' 'C' ]
"BCDCDEAEBA", 3, []
"CBDCDEEABA", 2, []
"BCCDDEEAAB", 3, []
"BCDCEADEAB", 2, []
"CBCDEDABEA", 3, []
"CBDCEDABEA", 3, []
"CBCDEADBEA", 4, []
"BCCDDEAEBA", 3, []
"CBCDADAB", 2, []
"BCCDDABA", 3, []
"ADBABCDC", 3, []
"EDABECDABC", 2, []
"EDEAABBCCD", 4, []
"EABDECDABC", 3, []
"EADBECDABC", 3, []
"DEABEACDBC", 4, []
"EDAEBACBDC", 4, []
"EABCDEABDC", 4, []
"DEEABABCCD", 4, []
"DEEABCDABC", 2, []
"EADEBCABDC", 2, []
"EDEABCDABC", 2, []
"EDAEBCABCD", 4, []
"BCADEBCADE", 2, []
"BACBCDEDAE", 4, []
"BCDAEABCDE", 4, []
"BCABCDEDAE", 3, []
"BABCDCEDAE", 2, []
"BCADEBACDE", 4, []
"BABCDECDEA", 3, []
"BABCDCEADE", 4, []
"ABCBCDDEEA", 2, []
"BACDBCEADE", 2, []
"BACBDCEDEA", 3, []
"BABCDCEDEA", 2, []
"BACDEBACDE", 3, []
"ABBCDECADE", 3, []
"BACBDECDAE", 2, []
"ABBCDECDAE", 2, []
"ABBCAADE", 2, [ 'C' 'D' ]
"ABBCDAEA", 3, [ 'C' 'D' 'E' ]
"BABCDAEA", 2, [ 'C' 'D' ]
"ABBYYA", 2, []
"AYBAYB", 2, []
"TOMMARVOLORIDDLE", 3, [ 'T' 'A' 'V' ]
"ABRACADABRAABRACADABRA", 3, []
"XYBYAXBYABCA", 4, [ 'C' ]
"BANANAS", 2, [ 'B' 'S' ]
"CBAABCD", 3, [ 'D' ]
"XYBYAXBYABCA", 3, [ 'C' ]
"AABCDCBAABCDCB", 3, []
"BCDCBA", 2, [ 'D' 'A' ]
"ABCA", 2, [ 'B' 'C' ]
"CDCBAB", 3, [ 'D' 'A' ]
"CDCBAAB", 3, [ 'D' ]
"DCBABC", 3, [ 'D' 'A' ]
"DCBABCDCBABC", 2, []
"BCBA", 2, [ 'C' 'A' ]
"BANANAS", 3, [ 'B' 'S' ]
"CBABCD", 3, [ 'A' 'D' ]
"ABCB", 2, [ 'A' 'C' ]
"ABCDA", 2, [ 'B' 'C' ]
"ABCACB", 2, []
"BCCDEABDEA", 2, []
"BCCDDEAEAB", 2, []
"CBCDEDABEA", 4, []
"BCCDEDAEBA", 4, []
"CBDCEDAEAB", 4, []
"BCCDEADEAB", 4, []
"CBDCADAB", 3, []
"DEAEBABCDC", 3, []
"EDEABACDBC", 3, []
"EADEBCDABC", 3, []
"DEEABABCDC", 3, []
"DEABCDEABC", 2, []
"BACBCDEDEA", 3, []
"ABBCDCEDEA", 4, []
"BABCCDEDEA", 2, []
"ABCBDCEDAE", 3, []
"BABAACDE", 4, [ 'C' 'D' 'E' ]
"ABCBDAEA", 3, [ 'C' 'D' 'E' ]
"ABBCDEAA", 3, [ 'C' 'D' 'E' ]
"ABCBAADE", 3, [ 'C' 'D' 'E' ]
"BABCDEAA", 4, [ 'C' 'D' 'E' ]
"BABACADE", 2, [ 'C' 'D' ]
"BABACDAE", 3, [ 'C' 'D' 'E' ]
"XYYYBXB", 2, []
"XBYYXBY", 2, []
"BCDCDEAEAB", 4, []
"CBDECDAEAB", 3, []
"CDEBCDAEBA", 3, []
"CDBECADEAB", 2, []
"CBDECDABEA", 3, []
"CDEBCADEBA", 4, []
"CDBECDEABA", 3, []
"BCDCADBA", 2, []
"CBDACBDA", 2, []
"CBDABCDA", 3, []
"DABABCCD", 3, []
"DABACBDC", 2, []
"ABCDABCD", 2, []
"EADBEACBDC", 3, []
"EDAEBABCCD", 4, []
"EABDECDABC", 4, []
"EDABCEABDC", 3, []
"EADBCEADBC", 4, []
"DEEABABCDC", 4, []
"EADBCEABDC", 4, []
"DEABCEADBC", 3, []
"DEEABCABDC", 2, []
"EADBEACBCD", 4, []
"EABDCEAB", 2, [ 'D' 'C' ]
"BACBCDDEEA", 3, []
"BABCCDEADE", 2, []
"BACDBECDAE", 4, []
"BABCDEACDE", 4, []
"BCABCDEADE", 2, []
"ABCDEBAA", 4, [ 'C' 'D' 'E' ]
"ABCDBAAE", 2, [ 'C' 'D' ]
"BABCADEA", 4, [ 'C' 'D' 'E' ]
"ABBAACDE", 3, [ 'C' 'D' 'E' ]
"BAABACDE", 3, [ 'C' 'D' 'E' ]
"ABCBAADE", 2, [ 'C' 'D' ]
"BCDECDABEA", 3, []
"CBDECDEABA", 3, []
"BCDECABDEA", 4, []
"CDBCDEABEA", 2, []
"CDEABCBDEA", 2, []
"CBCDDEEAAB", 3, []
"CDEBACDB", 4, [ 'E' 'A' ]
"CDBACDBA", 3, []
"CBDABCDA", 2, []
"DAABCBDC", 3, []
"DABCDABC", 3, []
"EADEABCBDC", 4, []
"EABDCEABCD", 4, []
"EABDCEADBC", 3, []
"DEAEBACBCD", 3, []
"EDABEACBCD", 3, []
"EDAEABCBDC", 2, []
